Number,MainVerb,VerbCompliment,ControlNumber,PatternNumber
3873,throw,back,26%34,2%4
3874,throw,back,26%35,2%4
3875,throw,back,26%36,4
3876,throw,back at,7%37,5
3877,throw,back on,26%81,23
3878,throw,down,1%47,7
3879,throw,down,15%26,2%4
3880,throw,down,15%27,2%4
3881,throw,down,15%64,2%4
3882,throw,in,14%27,16
3883,throw,in,14%87,2%4
3884,throw,into,14%170,5
3885,throw,into,14%171,16
3886,throw,into,23%37,5
3887,throw,into,30%78,22
3888,throw,into,32%33,16
3889,throw,off,12%67,2%4
3890,throw,off,20%41,2%4
3891,throw,off,31%153,2%4
3892,throw,off,31%154,15%2
3893,throw,on,12%94,21
3894,throw,on,21%26,2%4
3895,throw,on,27%267,21
3896,throw,on,7%54,22
3897,throw,out,9%97,2%4
3898,throw,out,13%60,2%4
3899,throw,out,13%61,2%4
3900,throw,out,20%98,2
3901,throw,out,27%304,2%4
3902,throw,out,28%42,2%4
3903,throw,out,28%85,2%4
3904,throw,over,2%122,2%4
3905,throw,over,12%112,5
3906,throw,together,29%57,2%4
3907,throw,together,29%58,23
3908,throw,up,16%27,1
3909,throw,up,16%43,2%4
3910,throw,up,16%54,2%4
3911,throw,up,20%145,2%6
3912,throw,up,22%38,2%6
3913,throw,up,24%164,2%4
3914,thrust,on,10%42,5
3915,thrust,up,16%23,1
3916,thrust,upon,10%84,5
3917,thumb,through,25%168,3
3918,thump,out,20%84,2%6
3919,tick,away,25%62,1
3920,tick,by,3%15,1
3921,tick,off,7%45,2%4
3922,tick,off,31%110,15%2
3923,tick,on,25%87,1
3924,tick,over,25%141,1
3925,tick,over,25%142,1
3926,tide,over,25%151,15
3927,tidy,away,29%9,2%4
3928,tidy,out,13%94,2%4
3929,tidy,up,22%56,2%4
3930,tidy,up,22%57,2%4
3931,tidy,up,24%176,2%4
3932,tidy,up,22%58,20
3933,tie,back,26%30,2%4
3934,tie,down,21%4,2%4
3935,tie,down,21%5,2%4
3936,tie,down,21%6,4
3937,tie,in with,30%39,3
3938,tie,up,21%83,2%4
3939,tie,up,21%84,2%4
3940,tie,up,21%85,2%4
3941,tie,up,22%102,2%4
3942,tie,up,24%177,2%4
3943,tighten,up,17%36,1
3944,tighten,up,17%37,2%4
3945,tighten,up,17%38,2%4
3946,tighten,up,21%76,2%4
3947,tinker,with,30%155,3
3948,tip,off,31%168,4
3949,tip,over,1%60,1
3950,tip,up,22%152,2%4
3951,tire,of,33%48,3
3952,tire,out,18%115,4
3953,toil,away,25%49,1
3954,tone,down,18%70,2%4
3955,tone,in,14%92,1
3956,tone,up,17%35,2%4
3957,top,off,24%23,2%4
3958,topple,over,1%61,1
3959,toss,around,1%10,1
3960,toss,around,2%91,2%4
3961,toss,away,31%25,2%4
3962,toss,back,1%17,2%4
3963,toss,down,15%69,2%4
3964,toss,in,14%45,2%4
3965,toss,off,24%41,7
3966,toss,off,24%42,4
3967,toss,out,20%79,2%4
3968,tot,up,17%135,2%4
3969,touch,down,15%108,1
3970,touch,off,23%44,2
3971,touch,on,27%234,3
3972,touch,up,22%80,2%4
3973,touch,up,22%81,2%4
3974,toughen,up,17%34,2%4
3975,tout,around,2%52,1
3976,tout,around,2%53,15
3977,tow,away,31%38,2%4
3978,tower,above,16%3,3
3979,tower,over,15%135,3
3980,tower,over,15%136,3
3981,tower,up,16%25,1
3982,toy,with,30%156,3
3983,toy,with,30%157,3
3984,trace,out,28%68,2%4
3985,track,down,6%5,2%4
3986,trade,in,14%125,2%4
3987,trade,on,27%204,3
3988,trail,away,18%4,1
3989,trail,off,18%93,1
3990,train,on,27%198,5
3991,train,up,17%118,2%4
3992,trample,on,8%52,3
3993,trample,on,12%95,3
3994,trap,into,10%29,5
3995,trespass,on,6%28,3
3996,trespass,on,6%29,3
3997,trick,into,10%27,5
3998,trick,out,19%24,1
3999,trifle,with,30%153,3
4000,trigger,off,23%46,2%4
4001,trim,away,18%16,2%4
4002,trim,off,12%48,15%2
4003,trip,over,1%53,8
4004,trip,up,7%80,4
4005,trot,off,4%55,1
4006,trot,out,20%80,2%4
4007,truss,up,21%55,4
4008,try,for,27%86,3
4009,try,on,10%50,2%4
4010,try,on,21%29,2%4
4011,try,out,24%95,4
4012,try,out,24%96,4
4013,tuck,away,29%22,2%4
4014,tuck,away,29%23,23
4015,tuck,in,14%40,1
4016,tuck,in,21%12,2%4
4017,tuck,in,21%13,2%4
4018,tuck,in,21%14,2%4
4019,tuck,up,21%53,2%4
4020,tuck,up,21%54,2%4
4021,tumble,down,15%77,1
4022,tumble,over,1%54,1
4023,tumble,to,27%355,3
4024,tune,in,27%156,1
4025,tune,into,14%183,3
4026,tune,into,27%183,3
4027,tune,up,17%84,2%4
4028,tune,up,22%75,1
4029,turf,out,13%66,2%6
4030,turf,out,13%100,2%4
4031,turn,against,27%16,5
4032,turn,against,27%17,3
4033,turn,around,1%4,1
4034,turn,around,32%2,2%4
4035,turn,around,32%3,1
4036,turn,around,32%4,4
4037,turn,aside,1%13,1
4038,turn,aside,9%17,1
4039,turn,away,9%29,2%4
4040,turn,away from,9%42,2
4041,turn,back,26%2,1
4042,turn,back,26%32,2%4
4043,turn,down,8%24,2%4
4044,turn,down,15%33,2%4
4045,turn,down,18%20,2%4
4046,turn,in,14%16,1
4047,turn,in,14%84,2%4
4048,turn,in,14%85,2%4
4049,turn,in,14%86,2%4
4050,turn,into,32%25,3
4051,turn,off,24%62,2%4
4052,turn,off,31%190,8
4053,turn,off,32%43,1
4054,turn,off,32%44,4
4055,turn,of,7%61,3
4056,turn,of,23%61,2%4
4057,turn,of,27%206,5
4058,turn,of,27%207,21
4059,turn,of,27%251,3
4060,turn,of,32%58,4
4061,turn,of,32%59,2%6
4062,turn,out,13%65,2%4
4063,turn,out,13%98,2%4
4064,turn,out,19%18,23
4065,turn,out,20%104,2%6
4066,turn,out,20%131,26
4067,turn,out,24%74,2%4
4068,turn,out,24%97,14
4069,turn,over,1%56,1
4070,turn,over,25%143,1
4071,turn,over,25%144,1
4072,turn,over,27%319,2%4
4073,turn,over,32%86,1
4074,turn,over,32%87,2%4
4075,turn,to,27%341,3
4076,turn,up,3%87,1
4077,turn,up,17%78,2%4
4078,turn,up,21%73,2%4
4079,type,away,25%53,1
4080,type,in,14%8,2%4
4081,type,into,14%199,5
4082,type,out,20%123,2%4
4083,type,up,24%174,2%4
4084,urge,on,10%38,5
4085,use,up,24%196,2%4
4086,usher,in,23%19,2%6
4087,vamp,up,17%97,2%4
4088,varnish,over,12%119,3
4089,veer,off,9%70,1
4090,venture,forth,4%49,1
4091,verge,on,6%30,2
4092,vie,with,30%165,3
4093,visit,with,30%130,3
4094,vote,down,8%25,2%4
4095,vote,in,14%19,2%4
4096,vote,out,13%58,2%4
4097,vote,through,24%148,2%4
4098,vouch,for,27%142,3
4099,wade,in,23%15,1
4100,wade,into,7%43,3
4101,wade,into,23%34,3
4102,wade,into,30%54,3
4103,wade,through,25%188,3
4104,wait,around,5%6,8
4105,wait,behind,5%29,1
4106,wait,in,5%49,1
4107,wait,on,27%216,3
4108,wait,on,27%217,3
4109,wait,on,27%218,3
4110,wait,out,25%122,2%6
4111,wait,up,5%81,1
4112,wake,up,32%99,1
4113,wake,up,32%100,18%4
4114,wake,up,32%101,1
4115,wake,up,32%102,18%4
4116,wake,up to,32%129,3
4117,walk,away,4%6,1
4118,walk,away,4%7,1
4119,walk,away from,9%44,3
4120,walk,away with,4%44,3
4121,walk,in on,14%143,3
4122,walk,into,30%59,3
4123,walk,into,30%60,3
4124,walk,off,18%100,2%6
4125,walk,off with,4%95,3
4126,walk,off with,4%96,3
4127,walk,out,13%42,1
4128,walk,out,13%43,1
4129,walk,out on,4%116,3
4130,walk,over,8%61,3
4131,wall,in,31%98,2%4
4132,wall,off,31%213,2%4
4133,wall,up,31%307,2%4
4134,wallow,in,27%162,3
4135,waltz,off with,4%97,3
4136,want,for,27%87,3
4137,want,in,30%22,1
4138,want,out,9%89,1
4139,want,out,13%47,1
4140,ward,off,11%16,2%6
4141,ward,off,11%17,2%6
4142,warm,over,26%95,2%4
4143,warm,over,26%96,2%4
4144,warm,to,32%95,1
4145,warm,towards,27%380,3
4146,warm,up,17%70,1
4147,warm,up,17%71,1
4148,warm,up,17%72,2%4
4149,warm,up,17%73,1
4150,warm,up,17%74,1
4151,warn,away,9%31,2%4
4152,warn,off,11%13,2%6
4153,warn,off,11%14,5
4154,wash,away,31%57,2%4
4155,wash,away,31%58,2%4
4156,wash,away,31%59,1
4157,wash,away,31%60,1
4158,wash,down,15%62,2%4
4159,wash,off,12%22,1
4160,wash,off,12%23,4
4161,wash,off,12%24,5
4162,wash,off,12%25,20
4163,wash,off,12%26,9%4
4164,wash,out,13%103,2%4
4165,wash,out,24%111,2%4
4166,wash,out,31%258,1
4167,wash,out,31%259,2%4
4168,wash,up,16%40,4
4169,wash,up,16%41,1
4170,wash,up,22%69,1
4171,wash,up,22%70,9%4
4172,waste,away,18%5,1
4173,watch,out,27%288,1
4174,watch,out,27%289,1
4175,watch,out for,27%311,3
4176,watch,over,27%338,3
4177,water,down,18%68,2%4
4178,water,down,18%69,2%4
4179,wave,aside,9%8,2%4
4180,wave,away,9%22,2%4
4181,wave,down,24%11,2%4
4182,wave,down,24%12,2%6
4183,wave,off,11%21,2%4
4184,wave,off,18%96,1
4185,wave,off,31%175,2%4
4186,wave,on,25%116,2%4
4187,wave,through,2%142,4
4188,wear,away,18%8,2%4
4189,wear,away,18%9,1
4190,wear,away,18%10,1
4191,wear,down,8%30,2%4
4192,wear,down,12%2,2%4
4193,wear,down,12%3,1
4194,wear,on,25%98,1
4195,wear,out,18%116,4
4196,wear,out,31%260,1
4197,wear,out,31%261,2%4
4198,wear,through,25%207,1
4199,weary,of,33%47,3
4200,weed,out,31%223,2%4
4201,weigh,against,28%5,5
4202,weigh,against,28%6,3
4203,weigh,down,18%24,4
4204,weigh,down,18%61,4
4205,weigh,in,23%17,1
4206,weigh,in,30%32,1
4207,weigh,on,27%253,2
4208,weigh,out,28%54,2%4
4209,weigh,up,28%114,2%4
4210,weigh,up,28%115,2%4
4211,well,up,16%30,1
4212,well,up,16%31,1
4213,wheel,around,1%6,1
4214,while,away,25%34,2%4
4215,whip,out,13%122,2%4
